Name,Address,City,State,Zipcode,Bandwitdh ( DIA or Broadband) Prediction,Direct or Wholesale Prediction,DQE ICP Focus,Provider And Connectivity,Website,Phone,LinkedIn Url,No Of Employees,Est Telco Spend,Entity Employee count,Entity Telco Spend,Location Type,Competitive Rating,canon_name,addr_zip_key,Network Build Status,Building Connection Status,Building Category,Access Medium,Install Interval,Supplier Name,Global Location ID,Custom Pricing Zone,Simple Status,Structure Status,Structure Type,Alternate Address,No IPL,Vanity Name,Building Management Company,Dist to Fiber Term Pt,Total Costs,Address Feedback,Country,Founded,API_EntityName,API_Website,API_Phone,API_LinkedIn,API_NoOfEmployees,API_MonthlyNetworkSpend,API_Revenue,API_Industry,API_FoundedYear,API_LocationType,API_LocationCount,DQE_Site_Distance,DQE_Connection_Status,DQE_Access_Medium,DQE_Network_Status,SITE_All_Competitors,API_Additional_Tenants
Express Scripts,401 Liberty Ave,Pittsburgh,Pennsylvania,15222,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.express-scripts.com,412-263-3663,https://www.linkedin.com/company/express-scripts,430,7165,9762,149998.5,"Commercial Building,Health Care",Red,express scripts,401 liberty ave|15222,Connected,OnNet,"Health Care,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US86GXCXRV+PQPBS00,,,Existing Lit- Type 1,Building - Property Owner,,No,Three Gateway Center,"HER001 Hertz Gateway Center, LP",,0,ok,US,,Express Scripts,https://www.express-scripts.com,800-282-2881,https://www.linkedin.com/company/express-scripts,9762,149998.50,70000000000,Insurance Agencies and Brokerages,1986,N/A,247,0,OnNet,Fiber,Connected,"2PIFI INC, ALTICE USA, AT&T, BLUE WIRELESS, Beyond Reach, CNI, COGENT COMMUNICATIONS INC, COMBRIDGE SRL, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, EXTENET SYSTEMS, FIDIUM, FIRSTLIGHT, FULL SERVICE NETWORK LP, KINBER, LUMEN TECHNOLOGIES, LUMOS NETWORKS, MOMENTUM TELECOM, PHOENIX TOWER INTERNATIONAL, SEGRA, SPECTRUM, SPOKE - AT&T, T-MOBILE, TELCO EXPERTS LLC, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, WINDSTREAM WHOLESALE, ZAYO, ZITO MEDIA","Dollar Bank Federal Savings Bank, Dhr International, Excel Translations, Mercer Us, First City Company, Simpler Consulting, Castle Brook Development, Chl & Associates, Gyf Erp Solutions Group, Wisers Ltda, Confluent Translations, Valuation Research, Klink & Co, Wayman Irvin & Mcauley, Renaissnce Prsrvtion Group, JOHN W GILTINAN & ASSOC, GRANTMAKERS OF WESTERN PA, Scanlon And Sansone, Houston Harbaugh Pc, Denton/Neely, D'ANGELO & ASSOC, Quinn Logue, Wade Trim, Center For Diagnostic Imaging, Urish Popeck & Co, Staunton Farm Foundation, Mutual Of America Life Insurance Company, Zenith American Solutions, Thompson Alex W Dgn Atty, Misa, VERTICAL BRIDGE, Echo International, Catalyst Roofing & Contrs, Pittsbrgh Area Ntsite User Gro, Simile Data And Telecom Dental, Keystone Staffing Solutions, Totum Realty Advisors, Teleradiology Holdings, Monteverde Group, GROSSMAN YANAK & FORD LLP, CREXENDO, Spinwiser, Massa Butler Giglione, Translateone A Trustpoint, Accessibility Development"
Upmc Eye Center,4200 5th Ave,Pittsburgh,Pennsylvania,15260,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.upmc.com,412-648-9670,https://www.linkedin.com/company/upmc,215,7165,8487,714587.25,"Commercial Building,School/University",Red,upmc eye center - eye & ear institute,4200 5th ave|15260,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,OnNet,Fiber,Connected,"2PIFI INC, AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, EXTENET SYSTEMS, FIDIUM, FIRSTLIGHT, KINBER, LUMEN TECHNOLOGIES, LUMOS NETWORKS, PHOENIX TOWER INTERNATIONAL, SALSGIVER, SEGRA, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, WINDSTREAM WHOLESALE, ZAYO, ZITO MEDIA",N/A
Fisher Scientific,300 Industry Dr,Pittsburgh,Pennsylvania,15275,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.fishersci.com,724-695-4050,https://www.linkedin.com/company/fisher-scientfic,500,7085,898,23066.46,Commercial Building,Red,fisher scientific,300 industry dr|15275,Connected,OnNet,Commercial Building,Fiber,30,DQE COMMUNICATIONS,US86GXFQ9P+VJJBS00,,,Fiber Ready - Single Entrance,Building,2000 Technology Dr,No,,,,0,ok,US,,Fisher Scientific,https://www.fishersci.com,86-21-5258-1100,https://www.linkedin.com/company/fisher-scientfic,898,23083.33,5000000,Credit Unions,2011,N/A,16,0,OnNet,Fiber,Connected,"2PIFI INC, AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, FIDIUM, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS","Pittsburgh Office, Dick's Wings, Thermo Fisher Scientific"
Arc Human Services,470 Johnson Rd,Washington,Pennsylvania,15301,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.archumanservices.org,724-745-3010,,325,6785,343,13017.5,"Commercial Building,Health Care,School/University",Red,arc human services,470 johnson rd|15301,Connected,OnNet,"Health Care,School/University,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US86GX6QCW+824BS00,,,Existing Lit - Single Entrance,Building,,No,,,,0,ok,US,1952,Arc Human Services,https://www.archumanservices.org,724-745-3010,,343,11487.50,200000000,Assisted Living Facilities for the Elderly,2011,N/A,19,0,OnNet,Fiber,Connected,"AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, EARTHLINK LLC, FIDIUM, LUMOS NETWORKS, PENTELEDATA, PHOENIX TOWER INTERNATIONAL, SEGRA, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS","Physical Therapy Institute, M W Gary and Associates, Proudfit Insurance Agency, Spartech Color And Specialty Compounds, Umwa Health And Retire Funds, Jrs Land Company, Home Instead Senior Care, Upmc Hillman Cancer Ctr, Law Office Todd M Bles Esqire, Steel City Spine And Orthopedic Center, Bedillion Advisory Group, Energy Management Solutions, Avient, Turner Chiropractic, Hga Engineers"
Allegheny Health Network,260 Lovedale Rd,Elizabeth,Pennsylvania,15037,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.alleghenycounty.us,412-384-8700,https://www.linkedin.com/company/allegheny-county,200,6685,8346,240825.25,"Commercial Building,Government",Green,allegheny health network,260 lovedale rd|15037,Not Connected,Near Net,"Government,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US87G274GH+8JRBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,1788,Allegheny Health Network,https://www.alleghenycounty.us,412-350-9003,https://www.linkedin.com/company/allegheny-county,7569,233497.00,1000000000,"Offices of Physicians, Mental Health Specialists",1788,N/A,904,1786,OnNet,Fiber,Connected,"AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, FIDIUM, LUMOS NETWORKS, PENTELEDATA, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, ZAYO",N/A
Brightside Academy,707 Grant St,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,http://www.brightsideacademy.com,412-201-5501,https://www.linkedin.com/company/brightside-academy,20,6685,1070,53285,"Commercial Building,Health Care",Red,brightside academy,707 grant st|15219,Connected,OnNet,"Health Care,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US87G2C2V3+2WJBS00,,,Existing Lit - Single Entrance,Building,,No,,,,0,ok,US,1992,Brightside Academy,http://www.brightsideacademy.com,412-201-5501,https://www.linkedin.com/company/brightside-academy,1070,45923.75,500000000,Educational Support Services,1992,N/A,131,0,OnNet,Fiber,Connected,"2PIFI INC, ALTICE USA, AT&T, BUCKEYE BROADBAND, Beyond Reach, CNI, COGENT COMMUNICATIONS INC, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, EXTENET SYSTEMS, FIDIUM, FIRSTLIGHT, FULL SERVICE NETWORK LP, IPC, KINBER, LUMEN TECHNOLOGIES, LUMOS NETWORKS, MOMENTUM TELECOM, PHOENIX TOWER INTERNATIONAL, SEGRA, SPECTRUM, SPOKE - AT&T, T-MOBILE, TELCO EXPERTS LLC, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, WINDSTREAM WHOLESALE, ZAYO, ZITO MEDIA","Fifth Third Bank, Celebrity Promotional Items, Charles A Lamberton, CARDINAL BUILDING MAINTENANCE, Calibre Group, Michael J Gallucci Atty, Au Bon Pain, Fastman Norman S Md, Jones Passodelis Pllc, Bennett Bricklin & Saltzburg, Bernstein Burkley Pc, Walsh Collis & Blackmer Pa, Liberty Oilfield Services, Keystone Legal Solutions, Esquire Deposition Services, Amec Construction Management, Gulf Trading And Transporting, Zillow, Amm, Marks O'neill O'brien Courtney, Aligned Partners Trust Co, Herbein Wealth Management, Adecco, Peirce Family Foundation, DELVIN ARCHITECTURE, Clear To Close Settlement, Steidl Steinberg Attys At Law, Murray Hogue & Lannis, Law Office Of Mark A Smith, Febert & Associates, Opsolve, Lean, Litmg, Gordon & Rees Llp, Rugby Realty, Summers Mcdonnell Walsh, Bernstein & Bernstein, Quotewizardcom, The Pt Services Group, Decision Resources, Permian Basin Division, COGENT COMMUNICATIONS INC, Washington Gas Resources, Bridgeway Cap Certif Devt Comp, Urbash Prof Reporting, Meyers Evans & Associates, De Novo Pttsbrgh Chrprctc & Hl, D & Ms Amen Corner, MURCKO THOMAS C, Homwak Law Firm, SILVERMAN MORTON B CPA, Fsc Marketing, Ait Business Services, Corless & Associates, Lupetin & Unatin, Make A Wish Foundation, The Harbaugh Group, Pocrass Gregory M, North American Industry"
Kings Family Restaurants,1820 Lincoln Hwy,North Versailles,Pennsylvania,15137,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.kingsfamily.com,412-823-0324,https://www.linkedin.com/company/kings-restaurant,200,6685,2006,68633,Commercial Building,Green,kings family restaurants,1820 lincoln hwy|15137,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G29699+4FHBS00,,,Estimated - Single Entrance Only,Building,,No,,,250,5000,ok,,,Kings Family Restaurants,http://www.kingsfamily.com,229-273-5333,https://www.linkedin.com/company/kings-restaurant,2006,63023.00,1000000000,Drinking Places (Alcoholic Beverages),1954,N/A,69,276,OnNet,Fiber,Connected,"AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, FIDIUM, FIRSTLIGHT, KINBER, LUMEN TECHNOLOGIES, LUMOS NETWORKS, PHOENIX TOWER INTERNATIONAL, SEGRA, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS","Bitcoin Depot Bitcoin Atm, Getgo"
Municipality Of Monroeville,2700 Monroeville Blvd,Monroeville,Pennsylvania,15146,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.monroevillechamber.com,412-317-9992,https://www.linkedin.com/company/monroeville-area-chamber,200,6685,381,8700,Commercial Building,Green,municipality of monroeville,2700 monroeville blvd|15146,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C6PC+945BS00,,,Estimated - Single Entrance Only,Building,,No,,,200,8500,ok,,,Municipality Of Monroeville,http://www.monroevillechamber.com,412-372-7725,https://www.linkedin.com/company/monroeville-area-chamber,381,905.00,5000000,Business Associations,2013,N/A,20,625,OnNet,Fiber,Connected,"AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, FIDIUM, FIRSTLIGHT, KINBER, LUMOS NETWORKS, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS","Turtle Creek Watershed Assn, Monroeville City Hall, City Of Monroeville, Tcvcog, Monroeville Public Works Dept, Monroeville Foundation, Monroeville Helicopters"
Target,335 Washington Rd,Washington,Pennsylvania,15301,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.target.com,724-229-9306,https://www.linkedin.com/company/target,200,6685,258183,7452439.94,"Commercial Building,Health Care",Green,target,335 washington rd|15301,Not Connected,Near Net,"Commercial Building,Health Care",Fiber,60,DQE COMMUNICATIONS,US86GX5QQC+6VFBS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,1962,Target,https://www.target.com,612-304-6073,https://www.linkedin.com/company/target,258183,6778249.84,73785000000,Ophthalmic Goods Manufacturing,1995,N/A,3955,398,OnNet,Fiber,Connected,"AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, EXTENET SYSTEMS, FRONTIER COMMUNICATIONS, KINBER, LUMOS NETWORKS, PENTELEDATA, SEGRA, SPECTRUM, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS",Starbucks Coffee
Target,4004 Monroeville Blvd,Monroeville,Pennsylvania,15146,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.target.com,412-374-9632,https://www.linkedin.com/company/target,200,6685,258183,7452439.94,"Commercial Building,Health Care",Green,target,4004 monroeville blvd|15146,Not Connected,Near Net,"Commercial Building,Health Care",Fiber,60,DQE COMMUNICATIONS,US87G2C6MG+HW3BS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,1962,Target,https://www.target.com,612-304-6073,https://www.linkedin.com/company/target,258183,6778249.84,73785000000,Ophthalmic Goods Manufacturing,1995,N/A,3955,796,OnNet,Fiber,Connected,"AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, EXTENET SYSTEMS, FIDIUM, FIRSTLIGHT, KINBER, LUMOS NETWORKS, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS","Coinstar Kiosk, Coinme Bitcoin, At And T Store"
Target,600 Chauvet Dr,Pittsburgh,Pennsylvania,15275,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.target.com,412-490-0802,https://www.linkedin.com/company/target,200,6685,258183,7452439.94,"Commercial Building,Health Care",Green,target,600 chauvet dr|15275,Not Connected,Near Net,"Health Care,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US86GXCRW8+GG9BS00,,,ConnectBase - Pending Estimate,,,,,,,,ok,,1962,Target,https://www.target.com,612-304-6073,https://www.linkedin.com/company/target,258183,6778249.84,73785000000,Ophthalmic Goods Manufacturing,1995,N/A,3955,1519,OnNet,Fiber,Connected,"2PIFI INC, AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, FIDIUM, SPECTRUM, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS","Cvs Health, Starbucks Coffee, At And T Store"
National Bank Of Canada,1 Oxford Ctr,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.bnc.ca,,https://www.linkedin.com/company/national-bank-of-canada,11,6527.5,68,25315,"Commercial Building,Health Care",Red,national bank of canada,1 oxford ctr|15219,Not Connected,Near Net,"Health Care,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US86GXGX5F+465BS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,National Bank Of Canada,http://www.bnc.ca,,https://www.linkedin.com/company/national-bank-of-canada,68,25315.00,0,"International, Secondary Market, and All Other Nondepository Credit Intermediation",,N/A,59,1834,OnNet,Fiber,Connected,"2PIFI INC, AT&T, Beyond Reach, COMCAST, DQE COMMUNICATIONS, FIDIUM, KINBER, MOMENTUM TELECOM, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS","Cliffs Natural Resources, Securities America, Union Real Estate Company, Oxford Realty Services, Sarah Scaife Foundation, Sentrana, Prc Acquisition, Nimick Forbesway Foundation, Mitsubishi Corporation (Americas), Wealth Enhancement Group, Westinghouse Electric Company, Blackrock, Pietragallo Gordon Alfano Bosick And Raspanti Llp, Oxford Development Company, Jd Palatine, STALEY CAPITAL ADVISORS, Congregate Management Svcs, Three Rivers Capital, Leadership Choice, Hanson Aggregates Pa, Kaufman And Kaufman, Quartet Gp, Caileigh Lynn Mcdwell Fndation, Boston Residences, Holliday Fenoglio Fowler Lp, Buchanan Ingersoll Llp, Alighten, Tristate Capital Bank, Morgan Lewis And Bockius Llp, Clark Hill Plc, KeyBank, Cambria County Court House, SWENSEN PERER & KONTOS, Slot Empire, City Heat, Main St Capitl Holdings, Software Development, Millcreek Capital Advisors"
Auberle,1101 Hartman St,McKeesport,Pennsylvania,15132,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,http://www.auberle.org,412-672-7525,https://www.linkedin.com/company/auberle,300,6385,969,9885,"Commercial Building,Health Care",Red,auberle,1101 hartman st|15132,Connected,OnNet,"Health Care,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US87G285X8+MXCBS00,,,Existing Lit - Single Entrance,Building,,No,,,,0,ok,US,1952,Auberle,http://www.auberle.org,412-672-7525,https://www.linkedin.com/company/auberle,969,9885.00,75000000,Other Grantmaking and Giving Services,1952,N/A,14,0,OnNet,Fiber,Connected,"AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, FIRSTLIGHT, KINBER, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, ZAYO",Jennifer Murphy
Texas De Brazil,240 W Station Square Dr,Pittsburgh,Pennsylvania,15219,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://texasdebrazil.com,412-230-4004,https://www.linkedin.com/company/texas-de-brazil,189,6333,2131,77434.75,Commercial Building,Green,texas de brazil,240 w station square dr|15219,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US86GXCXMV+PVPBS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,,Texas De Brazil,https://texasdebrazil.com,214-615-2184,https://www.linkedin.com/company/texas-de-brazil,2131,77742.25,500000000,Full-Service Restaurants,1998,N/A,110,207,OnNet,Fiber,Connected,"2PIFI INC, AT&T, BLUE WIRELESS, Beyond Reach, CNI, COGENT COMMUNICATIONS INC, COMCAST, CROWN CASTLE, CSX TRANSPORTATION, DQE COMMUNICATIONS, EXTENET SYSTEMS, FIDIUM, FIRSTLIGHT, FULL SERVICE NETWORK LP, KINBER, LUMEN TECHNOLOGIES, LUMOS NETWORKS, MOMENTUM TELECOM, PHOENIX TOWER INTERNATIONAL, SEGRA, SPECTRUM, SPOKE - AT&T, T-MOBILE, TELCO EXPERTS LLC, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, WINDSTREAM WHOLESALE, ZAYO",N/A
Kop Coat,436 7th Ave,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-OnNet-Connected,https://www.kop-coat.com,412-227-2700,https://www.linkedin.com/company/kop-coat-inc.,499,6273,1382,22248.38,"Commercial Building,Health Care",Red,kop coat,436 7th ave|15219,Connected,OnNet,"Health Care,Commercial Building",Fiber,30,DQE COMMUNICATIONS,US87G2C2R3+RQWBS00,,,Fiber Ready - Single Entrance,Building,,No,,,,0,ok,US,,Kop Coat,https://www.kop-coat.com,,https://www.linkedin.com/company/kop-coat-inc.,1382,21879.00,200000000,Paint and Coating Manufacturing,1907,N/A,13,0,OnNet,Fiber,Connected,"2PIFI INC, ALTICE USA, AT&T, BUCKEYE BROADBAND, Beyond Reach, CNI, COGENT COMMUNICATIONS INC, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, EXTENET SYSTEMS, FIDIUM, FIRSTLIGHT, FULL SERVICE NETWORK LP, IPC, KINBER, LUMEN TECHNOLOGIES, LUMOS NETWORKS, MOMENTUM TELECOM, PHOENIX TOWER INTERNATIONAL, SEGRA, SPECTRUM, SPOKE - AT&T, T-MOBILE, TELCO EXPERTS LLC, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS, WINDSTREAM WHOLESALE, ZAYO, ZITO MEDIA","Pittsburgh Acupressure, AFRICAN AMERICAN CHAMBER-CMMRC, Michael J Gallucci Atty, Allegheny Health Network, Lawyer Referral Services, John A Schwab Attorney At Law, Association Managers, Atm M And T Bank, Gross & Janes, Gma Factor, RAMUC POOL PAINT, ACBF JUVENILE COURT PROJECT, Ameritex Chemical And Coatings, Acba Legal Placement Services, Wilder & Mahood, DEFOREST LAW FIRM, Koppers Railroad Structures, Chuck Willis Heating & Air, Steidl Steinberg Attys At Law, Blend Bar With Davidoff Cigars, Koppers Industries Of Delaware, Point Legal, Carnegie Hero Fund Commission, Lorence Machael, Allegheny Club, Blumling & Gusky, Z Brand Group, Kennedy T Friend Education Fund, Reisinger Comber & Miller, The Grail Law Firm, Emma Munson Foundation, Michael J Bruzzese Attorney At Law, Dbr And, Railadvisor, Grable Foundation, Hunter Associates, Koppers Building Barber Shop, Air & Waste Management Association, COGENT COMMUNICATIONS INC, Washington Gas Energy Services, Einstein Bros Bagels, 3rd Circuit Court, Asian-Mrcan Inst For Res Edcat, Swartz Campbell, Weltman Weinberg & Reis Co, League of Women Voters, Urbash Prof Reporting, Redshift Advisors, Koppers Building, Business Capital Lender Pittsburgh Pa, Allegheny County Bar Association Legal Employment Service"
Pietragallo Gordon Alfano Bosick And Raspanti Llp,1 Oxford Ctr,Pittsburgh,Pennsylvania,15219,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.pietragallo.com,412-263-4385,https://www.linkedin.com/company/1669449,187,6269,213,12024,"Commercial Building,Health Care",Red,pietragallo gordon alfano bosick and raspanti,1 oxford ctr|15219,Not Connected,Near Net,"Health Care,Commercial Building",Fiber,60,DQE COMMUNICATIONS,US86GXGX5F+465BS00,,,ConnectBase - Pending Estimate,Building,,No,,,,9999.99,ok,,1987,Pietragallo Gordon Alfano Bosick And Raspanti Llp,http://www.pietragallo.com,740-282-6705,https://www.linkedin.com/company/1669449,213,11979.00,75000000,Offices of Lawyers,1984,N/A,24,1834,OnNet,Fiber,Connected,"2PIFI INC, AT&T, Beyond Reach, COMCAST, DQE COMMUNICATIONS, FIDIUM, KINBER, MOMENTUM TELECOM, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS","Cliffs Natural Resources, Securities America, Union Real Estate Company, Oxford Realty Services, Sarah Scaife Foundation, Sentrana, Prc Acquisition, Nimick Forbesway Foundation, Hanson Aggregates Pa, STALEY CAPITAL ADVISORS, Three Rivers Capital, Congregate Management Svcs, Mitsubishi Corporation (Americas), Wealth Enhancement Group, Leadership Choice, Westinghouse Electric Company, Caileigh Lynn Mcdwell Fndation, Boston Residences, Blackrock, Jd Palatine, Oxford Development Company, National Bank Of Canada, Kaufman And Kaufman, Quartet Gp, Holliday Fenoglio Fowler Lp, Buchanan Ingersoll Llp, Alighten, Tristate Capital Bank, Morgan Lewis And Bockius Llp, Clark Hill Plc, KeyBank, Cambria County Court House, SWENSEN PERER & KONTOS, Slot Empire, City Heat, Main St Capitl Holdings, Software Development, Millcreek Capital Advisors"
Best Buy,200 Mall Circle Dr,Monroeville,Pennsylvania,15146,DIA,Wholesale,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.bestbuy.com,412-856-7344,https://www.linkedin.com/company/best-buy,249,6261,196066,3901813.15,Commercial Building,Green,best buy,200 mall circle dr|15146,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2C6H4+H29BS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,,Best Buy,https://www.bestbuy.com,,https://www.linkedin.com/company/best-buy,179534,4996360.75,42410000000,Electronics and Appliance Retailers,1966,N/A,4489,1319,OnNet,Fiber,Connected,"2PIFI INC, AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, FIDIUM, LUMOS NETWORKS, PHOENIX TOWER INTERNATIONAL, SANGOMA, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS","Kay Jewelers, Dakota Watch Company, Gold Rush Baltimore, Clutch, Venetian Nail Spa, Pagoda, La Biotique, Proactive Skin Care, Massagenvycom, Marine Corps, Charleys Cheesesteaks, Smoke Wizard, Insanit-Shirt, Red Robin, Katinas Steps Of Faith Learning Center, Us Army, Kingz & Queenz Boutique, Cajun Cafe And Grill, Mobilexpress, Flamers Charbroiled, Halls Jewelers, Strictly 4 People, Tuckerman Optical, Jimmy Jazz, Sbarro, Pittsburgh Popcorn, The Colab, Buckle, Future Investments, Spencer Gifts, Ecoatm, AT&T, Footlocker, Marhsall Adams Media, Glitter, Irepair Phone And Tablet Repair, Bliss Body Spa, Bourbon Street Cafe, Minor Victories, Christmas In The Rockies Gift Mart, Inandis Ireations, C Truxell Research, US Air Force, Macy's, H&m, Mrsfields / Tcby, Gloria Jeans Gourmet Coffees, Nebo Cucina & Enoteca, Tween Brands, Pearl Of The Orient, Street Corner, Jackson Cmpt Consulting, Soul Cntered Qulty Hm Care, Pierre Bouaze Suits, Robert Cox Jewelry, Top Hat Tuxedo & Tailoring, A And D, Lil Bunny Play And Party Place, Julies Bubble Tea And Smoothies Monroeville, Caribbean Village, Quality Jewelry Repair, Waters Insurance, Knockerball Run, Sloppysoap"
Bunting,20 River Rd,Verona,Pennsylvania,15147,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,http://www.buntinggraphics.com,412-820-2200,https://www.linkedin.com/company/bunting-graphics-inc-,249,6261,262,7373.81,Commercial Building,Green,bunting,20 river rd|15147,Not Connected,Near Net,Commercial Building,Fiber,60,DQE COMMUNICATIONS,US87G2G553+2P7BS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,1980,Bunting,http://www.buntinggraphics.com,704-523-7737,https://www.linkedin.com/company/bunting-graphics-inc-,262,7373.81,25000000,Fabricated Structural Metal Manufacturing,1980,N/A,7,636,OnNet,Fiber,Connected,"AT&T, Beyond Reach, COMCAST, CROWN CASTLE, DQE COMMUNICATIONS, EXTENET SYSTEMS, FIDIUM, FIRSTLIGHT, LUMEN TECHNOLOGIES, LUMOS NETWORKS, PHOENIX TOWER INTERNATIONAL, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS",N/A
Eaton Corporation,2800 N Main St,Washington,Pennsylvania,15301,DIA,Direct,ICP Yes,DQE COMMUNICATIONS-Near Net-Not Connected,https://www.eaton.com,724-228-7333,https://www.linkedin.com/company/eaton,249,6261,33490,822859.35,"Commercial Building,Government",Green,eaton,2800 n main st|15301,Not Connected,Near Net,"Commercial Building,Government",Fiber,60,DQE COMMUNICATIONS,US86GX6Q74+5CXBS00,,,ConnectBase - Pending Estimate,Building,,,,,,,ok,,,Eaton Corporation,https://www.eaton.com,315-477-7000,https://www.linkedin.com/company/eaton,33296,1022071.25,21600000000,Business Associations,1911,N/A,1213,1738,OnNet,Fiber,Connected,"AT&T, Beyond Reach, COMCAST, DQE COMMUNICATIONS, PENTELEDATA, T-MOBILE, VERIZON, VIASAT COMMUNICATIONS, WILINE NETWORKS","Washington County Conservation Dist Rict, Prescription Nutrition, Cooper Crouse Hinds Outlet Bxs"
